4009Bahnhofstr/Berliner Platz/UmfeldBahnhof,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",0,0,0,,,0,0,0,936.129,936.129
AuszahlungfürBaumaßnahmen,"0,00",0,0,50.000,0,0,50.000,0,0,1.952.942,3.552.942
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,0,50.000-,,,50.000-,0,0,1.016.813-,2.616.813-
