4270AmPulverschuppenZUE,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"1.725,50",500.776,1.000.000,0,0,0,0,0,0,502.501,2.252.501
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"1.725,50-",500.776-,1.000.000-,0,,,0,0,0,502.501-,2.252.501-
