Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
"4140Albersloher Weg,Angelsachsenweg-Osttor",,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"200.000,00-",0,0,0,,,0,0,0,0,7.200.000
AuszahlungfürBaumaßnahmen,"0,00",100.000,100.000,100.000,0,0,50.000,50.000,500.000,283.105,12.083.105
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"200.000,00-",100.000-,100.000-,100.000-,,,50.000-,50.000-,500.000-,283.105-,4.883.105-
