InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"5.173,58",10.000,1.000,5.000,0,0,1.000,9.000,9.000,,
Saldo(Einzahlungen./. Auszahlungen),"5.173,58-",10.000-,1.000-,5.000-,,,1.000-,9.000-,9.000-,,
