4960NeubauMelanchthonschule inkl.Sporthalle,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",0,4.229.450,3.192.570,,,0,0,0,0,7.422.020
AuszahlungfürBaumaßnahmen,"1.135.062,55",6.474.937,7.000.000,5.000.000,5.000.000,6.070.000,6.070.000,2.256.300,0,8.493.417,28.819.717
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"1.135.062,55-",6.474.937-,2.770.550-,1.807.430-,,,6.070.000-,2.256.300-,0,8.493.417-,21.397.697-
