Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
4243VeloroutenStadtregion,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"1.137.900,00",1.500.000,1.000.000,1.000.000,,,1.000.000,1.000.000,1.000.000,3.032.350,16.532.350
AuszahlungfürBaumaßnahmen,"3.969.700,18",5.546.372,3.000.000,3.000.000,4.000.000,8.000.000,3.000.000,3.000.000,3.000.000,14.216.394,54.216.394
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"2.831.800,18-",4.046.372-,2.000.000-,2.000.000-,,,2.000.000-,2.000.000-,2.000.000-,11.184.044-,37.684.044-
