11,Zinsergebnis (Aufwand),"595.000,00 €","888.000,00 €","829.000,00 €","789.000,00 €","747.000,00 €"
12,Beteiligungsergebnis,"0,00 €","0,00 €","0,00 €","0,00 €","0,00 €"
13,sonstiges Finanzergebnis,"0,00 €","0,00 €","0,00 €","0,00 €","0,00 €"
14,Finanzergebnis,"595.000,00 €","888.000,00 €","829.000,00 €","789.000,00 €","747.000,00 €"
