,,,,Wahlbeamte,,,,,,,,,,,,,Laufbahngruppe 2 –,,,,,,,,,,,,Laufbahngruppe 2 –,,,,,,,,,,,,Laufbahngruppe 1 –,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Einstiegsamt 2,,,,,,,,,,,,Einstiegsamt 1,,,,,,,,,,,,Einstiegsamt 2,,,,,,,,,,,,,
PG,Bezeichnung,,,B10,,,B6,,,B5,,,B2,,,A16,,,A15,,,A14,,,A13,,,A13,,,A12,,,A11,,,A10,,,A9Z,,,A9,,,A8,,,A7,,,Summe,,
0504,WOHNGELD,,,,,,,,,,,,,,,,,,"0,30",,,,,,,,,"0,30",,,,,,"2,00",,,"1,00",,,,,,,,,"7,83",,,,,,"11,43",,
,,Summen: Produktbereich 05,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"2,30",,,"5,00",,,"0,00",,,"6,30",,,"11,00",,,"33,56",,,"62,12",,,"0,00",,,"4,50",,,"18,33",,,"1,00",,,"144,11",
,,Soziale Leistungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0601,FÖRDERUNG VON KINDERN IN TAGESBETREUUNG,,,,,,,,,,,,,,,,,,,,,"0,30",,,,,,"1,00",,,"1,30",,,"5,90",,,"4,00",,,,,,,,,"8,68",,,,,,"21,18",,
0602,KINDER- UND JUGENDARBEIT,,,,,,,,,,,,,,,,,,,,,"0,20",,,,,,,,,"1,90",,,"0,25",,,,,,,,,"0,20",,,"0,75",,,,,,"3,30",,
0603,FÖRDERUNG VON BENACHTEILIGTEN JUNGEN MENSCHEN,,,,,,,,,,,,,,,,,,,,,"0,20",,,,,,,,,"0,50",,,"0,15",,,"1,11",,,,,,,,,,,,,,,"1,96",,
0604,FAMILIENFÖRDERUNG,,,,,,,,,,,,,,,,,,,,,"0,05",,,,,,,,,"1,05",,,"2,05",,,,,,,,,,,,"2,27",,,,,,"5,42",,
0605,ERZIEHERISCHE UND WIRTSCHAFTLICHE HILFEN FÜR FAMILIEN,,,,,,,,,,,,,,,,,,,,,"1,25",,,,,,"1,25",,,"2,25",,,"12,15",,,"13,88",,,"1,00",,,,,,"4,50",,,,,,"36,28",,
,,Summen: Produktbereich 06,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"2,00",,,"0,00",,,"2,25",,,"7,00",,,"20,50",,,"18,99",,,"1,00",,,"0,20",,,"16,20",,,"0,00",,,"68,14",,
,,"Kinder-, Jugend- und Famili-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,enhilfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
