0120Besch.Außenspielgeräte städt.KiTas,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"132.938,68",288.559,124.500,124.500,0,0,124.500,124.500,124.500,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"132.938,68-",288.559-,124.500-,124.500-,,,124.500-,124.500-,124.500-,,
