Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
"0001Fahrzeuge,Geräteund sonstiges",,,,,,,,,,,
Einzahlungausder VeräußerungvonSachanlagen,"10.000,00",0,0,0,,,0,0,0,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"836.677,38",615.723,600.000,300.000,0,0,300.000,300.000,300.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"826.677,38-",615.723-,600.000-,300.000-,,,300.000-,300.000-,300.000-,,
