4208HamburgerTunnel/Berliner Platz,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",250.000,100.000,900.000,,,900.000,0,0,250.000,2.150.000
AuszahlungfürBaumaßnahmen,"0,00",220.000,165.000,1.450.000,0,0,1.450.000,0,0,220.000,3.285.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",30.000,65.000-,550.000-,,,550.000-,0,0,30.000,1.135.000-
