Tarifart,Entgelt- gruppe,,Zahl der,,,Zahl der,,,Zahl der,,,Ist-Besetzung,,Erläuterungen kw
,,,Stellen,,,Stellen,,,Stellen,,,am,,
,,,2027,,,2026,,,2025,,,30.06.2025,,
TVÖD VKA,,,,,,,,,,,,,,
,E15,"38,85",,,"38,85",,,"36,27",,,"30,59",,,"1,00 x kw 31.12.2030"
,E14,"72,32",,,"72,32",,,"78,82",,,"74,12",,,"2,00 x kw 31.12.2030"
,E13,"83,96",,,"82,96",,,"85,84",,,"77,23",,,"3,00 x kw 30.06.2027 2,00 x kw 31.12.2030"
,E12,"236,30",,,"236,30",,,"211,25",,,"188,77",,,"1,50 x kw 31.12.2027 0,23 x kw 31.03.2030 1,00 x kw 31.12.2028 24,00 x kw 31.12.2030 3,00 x kw 31.12.2032 2,00 x kw 31.12.2037"
,E11,"342,61",,,"341,61",,,"340,74",,,"303,41",,,"1,50 x kw 31.12.2027 9,50 x kw 31.12.2028 1,00 x kw 31.12.2029 1,77 x kw 31.03.2030 52,37 x kw 31.12.2030 2,00 x kw 31.12.2032 1,00 x kw 31.12.2033 3,40 x kw 31.12.2037"
,E10,"83,61",,,"83,61",,,"80,94",,,"71,66",,,"1,00 x kw 31.12.2029 3,00 x kw 31.12.2030"
,E09C,"154,37",,,"154,37",,,"145,29",,,"123,87",,,"3,50 x kw 31.12.2028"
,E09B,"172,41",,,"172,41",,,"173,87",,,"164,86",,,
,E09A,"278,96",,,"278,96",,,"271,14",,,"239,87",,,"2,00 x kw 30.06.2028 0,50 x kw 31.07.2028 2,00 x kw 31.03.2030 2,00 x kw 31.12.2030"
,E08,"176,85",,,"176,85",,,"172,56",,,"153,05",,,"4,00 x kw 31.12.2027 1,00 x kw 31.12.2028 1,50 x kw 31.12.2029 4,00 x kw 31.03.2030 0,50 x kw 31.12.2030"
,E07,"168,94",,,"168,94",,,"168,03",,,"154,69",,,"2,00 x kw 31.12.2028 1,00 x kw 31.03.2030"
,E06,"433,62",,,"433,11",,,"428,40",,,"405,29",,,"1,15 x kw 31.12.2030 1,00 x kw 31.12.2032"
,E05,"162,33",,,"162,33",,,"167,27",,,"159,59",,,"1,00 x kw 31.12.2029"
,E04,"58,40",,,"58,40",,,"58,99",,,"45,12",,,"14,99 x kw 31.12.2029"
,E03,"62,74",,,"62,74",,,"54,62",,,"36,33",,,"17,92 x kw 31.12.2029"
,E02,"83,85",,,"83,85",,,"92,73",,,"80,61",,,"6,09 x kw 31.12.2029"
,Summe,,"2.610,11",,,"2.607,60",,,"2.566,75",,"2.309,06",,,
TVÖD Pflege BT-B,,,,,,,,,,,,,,
,P09,"0,50",,,"0,50",,,"0,50",,,"0,50",,,
,P08,"3,51",,,"3,51",,,"2,76",,,"2,55",,,
,P07,"0,75",,,"0,75",,,"0,75",,,"0,75",,,
,Summe,"4,76",,,"4,76",,,"4,01",,,"3,79",,,
BT-V Soz.&Erz.Dienst,,,,,,,,,,,,,,
,S18,"28,25",,,"28,25",,,"27,25",,,"25,72",,,
