Lfd.,Produkt-,Amt,Aus-,Empfänger,Verwendungszweck / Zielsetzung,Zuschuss 2026 in €,davon Personal- kosten,davon,davon sonst. Kosten,Zuschuss 2027 in €,davon Personal- kosten,davon,davon sonst. Kosten,verpflichtende/,zeitliche
Nr.,gruppe,,schuss,,,,,Overhead,,,,Overhead,,freiwillige Leistung,Befristung
1,0102,33,AWFLD,"unterschiedliche Empfänger/innen, welche erst im Laufe des HH-Jahres bekannt werden (Antragsverfahren)",Zuschüsse für Begegnungen und Projekte zur Förderung der Beziehungen zu den Partnerstädten.,46.000,0,0,46.000,46.000,0,0,46.000,freiwillig,jährlich
2,0102,33,AWFLD,"unterschiedliche Empfänger/innen, welche erst im Laufe des HH-Jahres bekannt werden (Antragsverfahren)",Zuschüsse des Integrationsrates für Projekte und Kooperationen,29.440,0,0,29.440,29.440,0,0,29.440,freiwillig,jährlich
3,0102,33,AWFLD,Stiftung Siverdes,Fortführung der Ehrenamtskarte,35.000,0,0,35.000,35.000,0,0,35.000,freiwillig,31.12.2028
4,0103,OB,AWFLD,privates Unternehmen als Organisator des Stadtfestes,Zuschuss Stadtfest,80.000,0,0,80.000,80.000,0,0,80.000,freiwillig,31.12.2028
5,0104,17,AGL,Beratungsstelle Frauen helfen Frauen e. V.,"Beratung und Therapie für Frauen, bes. Essstörungen und Dissoziativer Identitätsstörung Frauen",193.760,176.428,0,17.332,196.480,179.148,0,17.332,dem Grunde nach,31.12.2028
6,0104,17,AGL,Beratungsstelle Beratung und Therapie e. V.,Verbesserung der psychischen und sozialen Notlage von Frauen,187.460,170.889,0,16.571,190.070,173.498,0,16.572,dem Grunde nach,31.12.2028
7,0104,17,AGL,Beratungsstelle Frauen-Notruf Münster e.V.,Beratung und Unterstützung von Frauen und Mädchen bei sexualisierter Gewalt,162.790,148.514,0,14.276,164.750,150.474,0,14.276,dem Grunde nach,31.12.2028
8,0104,17,AGL,Frauen und Mädchen Selbstverteidigung und Sport e.V. Münster,Hilfe bei Selbstbehauptung und Selbstverteidigung für Frauen und Mädchen,103.270,91.075,0,12.195,105.090,92.895,0,12.195,freiwillig,31.12.2032
9,0104,17,AGL,Frauen und neue Medien e. V.,Förderung von Kompetenz und Sachverständnis für Frauen und Mädchen mit digitalen Kommunikationstechnologien,42.250,38.617,0,3.633,43.020,39.387,0,3.633,freiwillig,31.12.2032
10,0104,17,AGL,Kompanera / BerufsWege e.V.,Förderung der gleichberechtigten Berufsbildung und -tätigkeit von Frauen*,141.400,127.632,0,13.768,143.950,130.183,0,13.767,freiwillig,31.12.2032
11,0104,17,AGL,LiVas e. V.,"Unterstützung lesbische, bisexuelle und queere Frauen*, Inter*,Trans* und non-binäre Menschen",17.450,15.950,0,1.500,17.760,16.260,0,1.500,freiwillig,31.12.2030
12,0104,17,AGL,KCM Schwulenzentrum Münster e. V.,Ergreifung v. Initiativen und Maßnahmen für homo/bisexuelle Männer,16.100,0,0,16.100,16.100,,0,16.100,freiwillig,31.12.2030
13,0104,17,AGL,profamilia Münster,Ergreifung v. Initiativen und Maßnahmen sowie Beratung für TI*Personen,34.890,31.890,0,3.000,35.530,32.530,0,3.000,freiwillig,31.12.2028
14,0104,17,AGL,Fachstelle für Sexualität und Gesundheit – Aidshilfe Münster e.V. - Regenbogenfamilien,Ergreifung v. Initiativen und Maßnahmen sowie Beratung für Regenbogenfamilien,11.630,10.630,0,1.000,11.840,10.840,0,1.000,freiwillig,31.12.2028
15,0104,17,AGL,Fachstelle für Sexualität und Gesundheit – Aidshilfe Münster e.V. Trans- und Interberatung,Entwicklung und Durchführung von Fortbildungs- und Sensibilisierungsangeboten zu den Themen Trans*- und Inter*geschlechtlichkeit,23.260,21.260,0,2.000,23.690,21.690,0,2.000,freiwillig,31.12.2028
16,0104,17,AGL,TIMS e. V. - Trans- und Interberatung,Ergreifung v. Initiativen und Maßnahmen für die Trans*- und Inter*-Peerberatung,23.260,21.260,0,2.000,23.690,21.690,0,2.000,freiwillig,31.12.2028
17,0104,17,AGL,TIMS e. V. - Selbsthilfe,Regelförderung für den Verein Trans*-Inter*- Münster,34.400,0,0,34.400,34.400,0,0,34.400,freiwillig,31.12.2028
18,0104,17,AGL,Move & Meet e.V.,"Mobile Sport-, Bildungs- und Freizeitangebote für Frauen und Mädchen mit und ohne Migrations- und Fluchterfahrung",73.880,66.880,0,7.000,72.170,65.170,0,7.000,freiwillig,31.12.2028
19,0104,17,AGL,Caritasverband für die Stadt Münster e.V.,Täterarbeit im Rahmen der Krisen- und Gewaltberatung für Männer,57.510,52.010,0,5.500,58.550,53.050,0,5.500,dem Grunde nach,31.12.2028
20,0104,17,AGL,AWO Fachstelle Jugendarbeit und Sexualpädagogik,Projekt Vielfalt,40.000,36.000,0,4.000,40.000,36.000,0,4.000,freiwillig,31.12.2028
21,0104,17,AGL,Beratungsstelle des Trägers Frauenhaus und Beratung e.V.,Fachberatung zum Thema Häusliche Gewalt für Frauen,191.150,163.035,0,28.115,193.450,165.335,0,28.115,dem Grunde nach,31.12.2030
22,0104,17,AGL,Fachberatungsstelle bei Häuslicher Gewalt und Stalking des SKF,Fachberatung zum Thema Häusliche Gewalt,53.830,38.930,0,14.900,54.610,39.710,0,14.900,dem Grunde nach,31.12.2032
23,0104,17,AGL,ca. 20 Projektträgerinnen / Gruppen aus dem Bereich Frauenorganisationen,"Projekte, Fachtagungen, Aktionen",20.000,0,0,20.000,20.000,0,0,20.000,freiwillig,31.12.2028
24,0104,17,AGL,ca. 5 Projektträger/ Gruppen aus dem Bereich LSBTI*,"Projekte, Fachtagungen, Aktionen",6.235,0,0,6.235,6.235,0,0,6.235,freiwillig,31.12.2028
