,,,,,TVÖD VKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Bezeichnung,,,E15,,,E14,,,E13,,,E12,,,E11,,,E10,,,E09C,,,E09B,,,E09A,,,E08,,,E07,,,E06,,,E05,,,E04,,,E03,,,E02,,
0102,"GESCHÄFTSFÜHRUNG FÜR POLITISCHE GREMIEN, STÄDTEPARTNERSCHAFTEN",,,,,,,,,,,,"0,79",,,"2,23",,,,,,,,,"1,76",,,"1,00",,,"2,84",,,"0,45",,,"2,66",,,,,,"0,53",,,"1,66",,,"0,77",,
0103,"OB, BM UND VERWALTUNGSFÜHRUNG",,,"6,00",,,"9,25",,,"6,00",,,"6,74",,,"2,08",,,,,,,,,,,,"1,00",,,"7,00",,,"4,00",,,,,,"1,26",,,,,,,,,,,
0104,GLEICHSTELLUNG ALLER GESCHLECHTER,,,"1,00",,,,,,,,,"1,00",,,"2,50",,,,,,,,,,,,"1,50",,,,,,,,,,,,,,,,,,,,,,,
0105,PERSONAL- UND SCHWERBEHINDERTEN- VERTRETUNG,,,,,,,,,,,,"0,38",,,"1,00",,,"1,00",,,,,,"2,00",,,"0,50",,,"0,64",,,,,,,,,"2,00",,,,,,,,,,,
0106,WIRTSCHAFTLICHKEITS- PRÜFUNG UND REVISION,,,,,,"2,00",,,,,,"3,50",,,"0,82",,,,,,,,,,,,,,,,,,,,,"0,50",,,,,,,,,,,,,,
0107,PUBLIC RELATIONS,,,"1,00",,,"2,00",,,"7,13",,,"1,00",,,"1,00",,,,,,"0,50",,,"1,00",,,"1,00",,,,,,,,,,,,,,,,,,,,,,,
0108,PERSONAL- UND ORGANISATIONS- MANAGEMENT,,,"0,90",,,"2,55",,,"1,25",,,"9,77",,,"26,04",,,"0,61",,,,,,"0,63",,,"12,75",,,"3,00",,,,,,"2,57",,,"0,86",,,"5,27",,,"2,99",,,,,
0109,FINANZ- UND BETEILIGUNGSMANAGEMENT,,,,,,"1,00",,,"1,00",,,"8,84",,,"11,00",,,"3,88",,,"2,00",,,"2,00",,,"8,90",,,"24,47",,,"5,50",,,"1,33",,,,,,,,,"0,38",,,,,
0110,RECHT,,,,,,"1,50",,,,,,,,,"4,25",,,,,,"1,00",,,,,,,,,"1,00",,,,,,"1,00",,,,,,,,,,,,,,
0111,IMMOBILIENMANAGEMENT,,,"2,00",,,"8,00",,,"2,00",,,"45,14",,,"53,45",,,"5,88",,,"1,00",,,"12,00",,,"16,35",,,"6,50",,,,,,"11,10",,,"2,50",,,"1,00",,,"1,54",,,"64,00",,
0113,ZENTRALE DIENSTE,,,"0,10",,,,,,,,,,,,"1,00",,,,,,,,,,,,"5,00",,,"2,50",,,"1,00",,,"4,48",,,"14,42",,,"1,75",,,"0,57",,,,,
0114,STIFTUNGSMANAGEMENT,,,"1,00",,,,,,,,,"2,00",,,,,,,,,,,,,,,,,,"1,00",,,,,,"1,00",,,,,,,,,,,,,,
0116,MIGRATIONS- UND INTEGRATIONSMANAGEMENT,,,,,,"1,00",,,"1,00",,,,,,,,,,,,"0,50",,,"2,48",,,,,,,,,,,,,,,"0,50",,,,,,,,,,,
,,Summen: Produktbereich 01,,,"12,00",,,"27,30",,,"18,38",,,"79,16",,,"105,37",,,"11,37",,,"5,00",,,"21,87",,,"48,00",,,"48,95",,,"10,95",,,"24,64",,,"21,54",,,"8,55",,,"7,14",,,"64,77",
,,Innere Verwaltung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0201,ORDNUNGSRECHTLICHE ANGELEGENHEITEN,,,,,,,,,,,,"1,30",,,,,,,,,,,,"1,80",,,"49,55",,,"0,55",,,,,,"0,68",,,,,,,,,,,,,,
0202,GEWERBERECHTLICHE ANGELEGENHEITEN,,,,,,,,,,,,"1,10",,,,,,"1,00",,,,,,"0,35",,,"4,15",,,"2,40",,,,,,"0,43",,,,,,,,,,,,,,
0203,STRAßENVERKEHRS- RECHTLICHE ANGELEGENHEITEN,,,,,,,,,,,,"2,60",,,"1,00",,,,,,"2,50",,,"0,85",,,"9,27",,,"17,35",,,"14,01",,,"14,60",,,"28,00",,,"4,00",,,"6,75",,,,,
0204,BÜRGERANGELEGENHEITEN,,,,,,,,,,,,"1,00",,,"1,15",,,,,,"7,50",,,"0,25",,,"3,62",,,"23,05",,,,,,"4,50",,,"8,27",,,"0,50",,,,,,,,
0205,STANDESAMTS- ANGELEGENHEITEN,,,,,,,,,,,,,,,,,,,,,"1,00",,,"2,50",,,,,,"2,00",,,,,,"2,00",,,,,,,,,,,,,,
