InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"0,00",21.156,0,0,0,0,0,0,0,,
Saldo(Einzahlungen./. Auszahlungen),"0,00",21.156-,0,0,,,0,0,0,,
