4200Umbaustädt.KiTasi.R. desu3-Programms,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",0,0,0,,,0,0,0,805.561,805.561
AuszahlungfürBaumaßnahmen,"241.674,62",241.444,200.000,200.000,800.000,0,200.000,200.000,200.000,2.056.613,3.056.613
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"0,00",0,0,0,0,0,0,0,0,113.149,113.149
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"241.674,62-",241.444-,200.000-,200.000-,,,200.000-,200.000-,200.000-,1.364.201-,2.364.201-
