Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0000Ablösebeträge Kfz-Einstellplätze,,,,,,,,,,,
EinzahlungausBeiträgenund ähnlichenEntgelten,"396.430,00",420.000,420.000,420.000,,,420.000,420.000,420.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"396.430,00",420.000,420.000,420.000,,,420.000,420.000,420.000,,
