1010Breitbandausbau Münster_GraueFlecken,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",1.187.550,3.788.950,3.788.940,,,973.950,0,0,1.187.550,9.739.390
Auszahlungvonaktivierbaren Zuwendungen,"0,00",1.484.440,4.736.190,4.736.180,0,0,1.217.430,0,0,1.484.440,12.174.240
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",296.890-,947.240-,947.240-,,,243.480-,0,0,296.890-,2.434.850-
