0290Darlehen Konzernfinanzierung,,,,,,,,,,,
AuszahlungfürdenErwerbvon Finanzanlagen,"0,00",30.000.000,100.000.000,0,0,0,0,0,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",30.000.000-,100.000.000-,0,,,0,0,0,,
