"4281Fahrradinfrastruktur, SanierunguAusbau",,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",300.000,300.000,300.000,,,300.000,300.000,300.000,300.000,1.800.000
AuszahlungfürBaumaßnahmen,"32.773,60",1.015.005,1.000.000,1.000.000,2.000.000,0,1.000.000,1.000.000,1.000.000,1.275.815,15.775.815
Auszahlungvonaktivierbaren Zuwendungen,"94.733,31",0,0,0,0,0,0,0,0,1.162.933,1.162.933
Verpflichtungsermächtigung2026zuLasten,,,,1.000.000,,,1.000.000,0,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"127.506,91-",715.005-,700.000-,700.000-,,,700.000-,700.000-,700.000-,2.138.748-,15.138.748-
