Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
1100Beschaffung Ratsmikrofonanlage,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"0,00",289.500,0,0,0,0,0,0,0,289.500,289.500
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",289.500-,0,0,,,0,0,0,289.500-,289.500-
