6070B-Plan616-ImBerdel SP/ÖG,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",0,0,0,0,0,110.000,55.000,55.000,0,2.200.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,0,0,,,110.000-,55.000-,55.000-,0,2.200.000-
