Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0000Beschaffungen,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"0,00",10.000,10.000,10.000,0,0,10.000,10.000,10.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",10.000-,10.000-,10.000-,,,10.000-,10.000-,10.000-,,
