Ergebnisplan,,Ist 2024,Ansatz 2025,fortgeschr. Ansatz 2025,Ansatz 2026,Ansatz 2027,Plan 2028,Plan2029,Plan 2030
Zeile,Bezeichnung,(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro),(in Mio. Euro)
11,Personalaufwendungen,"387,9","389,0","389,0","399,1","403,5","409,6","418,7","428,5"
12,Versorgungsaufwendungen,"36,5","32,3","32,3","37,8","33,1","33,7","34,5","35,2"
13,Aufwendungen für Sach-/Dienstleistungen,"165,4","170,7","180,2","171,3","171,5","168,0","163,7","163,8"
14,Bilanzielle Abscheibungen,"88,4","90,2","90,2","91,4","91,7","92,1","92,5","93,1"
15,Transferaufwendungen,"850,4","881,7","885,7","899,1","912,4","928,3","932,3","939,4"
16,Sonstige ordentliche Aufwendungen,"106,9","93,0","96,3","87,9","89,2","86,0","84,7","84,1"
17,Ordentliche Aufwendungen,"1.635,4","1.656,8","1.673,7","1.686,5","1.701,4","1.717,7","1.726,4","1.744,1"
