Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0000An-undVerkaufv. bewegl.Anlagevermögen,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",6.000,6.000,6.000,,,6.000,6.000,6.000,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"287.573,97",431.481,1.210.600,2.153.000,0,0,178.000,153.000,153.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"287.573,97-",425.481-,1.204.600-,2.147.000-,,,172.000-,147.000-,147.000-,,
