lfd.,Produkt-,Fachamt,Mietobjekt,Mieter,Miet- fläche in m²,Auftragsgrundlage,Jahreswarmmiete entsprechend der ILV,Mieterträge/ Kaltmieten 2024,Differenz = jährl.,Anpassung möglich zum,Erläute-
Nr.,gruppe,,,,,,,,Zuschuss 2024,,rung
22,1401,67,Zumsandestraße 15,Umweltforum Münster e. V.,"200,00",Beschluss Haupt- und Finanz- ausschuss vom 05.07.1995,"7.385,00 €","0,00 €","7.385,00 €",01.06.2024,
23,0601,67,Zwi-Schulmann-Weg 25,CVJM Christlicher Verein junger Menschen,"700,00",Ratsbeschluss vom 28.03.2001,"34.532,06 €","0,00 €","34.532,06 €",01.08.2031,(1)
24,0401,41,Zur Alten Feuerwache 26,Hiltruper Museum,"33,00","Beschluss Ausschuss f. Liegenschaften, Wirtschaft u. strategisches Flächen- management vom 30.11.2016","293,00 €","0,00 €","293,00 €",01.01.2029,(2)
"Summe 875.614,63 € 274.006,60 € 601.608,03 €",,,,,,,,,,,
"Da die Warmmiete durchlaufende Posten enthält, werden die Kaltmieten angegeben. Die Beträge wurden kaufmännisch gerundet.",,,,,,,,,,,
(1) Die Errichtung der Kindertagesstätte wurde bezuschusst. Aus diesem Grund dürfen durch die Stadt Münster nur die Nebenkosten auf den Mieter umgelegt werden.,,,,,,,,,,,
(1)* Die Erweiterung durch einen Kitapavillon wurde nicht bezuschusst. Aus diesem Grund wird für diesen Teil Miete erhoben.,,,,,,,,,,,
"(2) Herrichtungskosten, bzw. Instandhaltung an Dach und Fach werden im Gegenzug ganz, bzw. teilweise vom Mieter übernommen.",,,,,,,,,,,
