Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
5170KitaHobbeltstraße/ Lammerbach,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",810.000,0,0,,,0,0,0,810.000,810.000
AuszahlungfürBaumaßnahmen,"38.016,26",4.152.584,2.000.230,0,0,0,0,0,0,4.208.805,6.209.035
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"38.016,26-",3.342.584-,2.000.230-,0,,,0,0,0,3.398.805-,5.399.035-
