9100Kreditezur Liquiditätssicherung,,,,,,,,,,,
Einzahlungen aus der Aufnahme von Krediten zur Liquiditätssicherung,"115.015.647,66",787.061.668,709.417.513,768.243.543,,,792.430.393,815.760.193,844.232.033,,
AuszahlungenfürdieTilgung vonKreditenzur Liquiditätssicherung,"30.124.960,78",653.164.805,787.061.668,709.417.513,0,0,768.243.543,792.430.393,815.760.193,,
Saldo Maßnahme (Einzahlungen ./. Auszahlungen),"84.890.686,88",133.896.864,77.644.155-,58.826.030,,,24.186.850,23.329.800,28.471.840,,
