Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0000BeschaffungenAmt62,,,,,,,,,,,
Einzahlungausder VeräußerungvonSachanlagen,"50.050,00",1.020,1.020,1.020,,,1.020,1.020,1.020,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"274.838,86",200.000,235.000,245.000,0,0,230.000,230.000,230.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"224.788,86-",198.980-,233.980-,243.980-,,,228.980-,228.980-,228.980-,,
