Lfd.,Produkt-,Amt,Aus-,Empfänger,Verwendungszweck / Zielsetzung,Zuschuss 2026 in €,davon Personal- kosten,davon,davon sonst. Kosten,Zuschuss 2027 in €,davon Personal- kosten,davon,davon sonst. Kosten,verpflichtende/,zeitliche
Nr.,gruppe,,schuss,,,,,Overhead,,,,Overhead,,freiwillige Leistung,Befristung
248,0604,51,AKJF,Haus der Familie,Bildungspiloten,22.131,-,-,-,22.534,-,-,-,dem Grunde nach,31.12.2030
249,0604,51,AKJF,Der Kinderschutzbund,"Beratung und Hilfe im Aufgabenschwerpunkt ""Gewalt in der Familie"", Öffentlichkeitsarbeit, Weiterbildung von Mitarbeitenden (zu 40 % in PG 0605)",216.911,-,-,-,219.086,-,-,-,dem Grunde nach,31.12.2028
250,0604,51,AKJF,Der Kinderschutzbund,"Projekt ""Spürsinn. Mein Gefühl stimmt!""",22.739,-,-,-,23.150,-,-,-,dem Grunde nach,31.12.2029
251,0604,51,AKJF,Kinderschutzambulanz/ DRK,Ärztliche Kinderschutzambulanz (zu 80 % in PG 0605),83.601,-,-,-,85.126,-,-,-,dem Grunde nach,31.12.2028
252,0604,51,AKJF,Zartbitter,Beratungsstelle gegen sexualisierte Gewalt (zu 25 % in PG 0605) mit Sperrvermerk,284.502,-,-,-,289.636,-,-,-,dem Grunde nach,31.12.2028
253,0604,51,AKJF,AWO,Stadtteilbezogenes Begegnungsstättenangebot,145.266,-,-,-,151.028,-,-,-,dem Grunde nach,31.12.2029
254,0604,51,AKJF,AWO,Stadtteilbezogenes psychologisches Beratungsangebot (zu 50 % in PG 0605),33.507,-,-,-,32.557,-,-,-,dem Grunde nach,31.12.2029
255,0604,51,AKJF,Caritas,Beratungsangebot für Männer im Bereich sexualisierter Gewalt,80.000,-,-,-,80.000,-,-,-,dem Grunde nach,31.12.2028
256,0604,51,AKJF,"Caritas Verband Münster, Beratungsstelle Südviertel, Trialog, Diakonie Münster","Angebot ""Kinder im Blick"" (KiB)",26.595,-,-,-,27.080,-,-,-,dem Grunde nach,31.12.2029
257,0604,51,AKJF,Trialog,"Beratung bei Familienkrisen, Trennung und Scheidung",29.600,-,-,-,29.600,-,-,-,dem Grunde nach,31.12.2029
258,0604,51,AKJF,Trialog,"Beratung bei Familienkrisen, Trennung und Scheidung",212.474,-,-,-,216.346,-,-,-,dem Grunde nach,31.12.2029
259,0604,51,AKJF,EFL/Bistum Münster,"Ehe-, Familien- und Lebensberatung",41.000,-,-,-,41.000,-,-,-,dem Grunde nach,31.12.2029
260,0604,51,AKJF,M.U.M.- Mehrgenerationenhaus und Mütterzentrum Münster e.V.,Mini-Mum Hof Hesselman,22.747,-,-,-,23.162,-,-,-,dem Grunde nach,31.12.2029
261,0604,51,AKJF,M.U.M.- Mehrgenerationenhaus und Mütterzentrum Münster e.V.,"Mütterzentrum, Familiencafè,",43.229,-,-,-,44.017,-,-,-,dem Grunde nach,31.12.2029
262,0604,51,AKJF,St.Franziskus -Hospital GmbH Münster,Babylotsen,54.365,-,-,-,55.357,-,-,-,dem Grunde nach,31.12.2031
263,0604,51,AKJF,UKM,Babylotsen,18.945,-,-,-,19.288,-,-,-,dem Grunde nach,31.12.2031
264,0604,51,AKJF,Verein sozialintegrativer Projekte e. V.,Maßband,55.330,-,-,-,57.510,-,-,-,dem Grunde nach,31.12.2031
