5950Maßnahmen Stadtentwicklungskonzept,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",50.000,50.000,50.000,0,0,50.000,50.000,0,50.000,250.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",50.000-,50.000-,50.000-,,,50.000-,50.000-,0,50.000-,250.000-
