Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
4040WettbewerbHiltrup-Ost,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",150.000,0,0,0,0,0,0,0,150.000,150.000
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"0,00",356.330,0,0,0,0,0,0,0,356.330,356.330
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",506.330-,0,0,,,0,0,0,506.330-,506.330-
