Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0010Beschaffungenfürdie VHS,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"8.144,36",25.430,25.430,25.430,0,0,25.430,25.430,25.430,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"8.144,36-",25.430-,25.430-,25.430-,,,25.430-,25.430-,25.430-,,
