Produktbereiche/Produktgruppen,Einzahlung,Auszahlung,Saldo aus,Einz. aus,Ausz. aus,Saldo aus,Finanzmittel-,Einz. aus Fi-,Ausz. aus Fi-,Saldo aus Fi-,Verpflich-
,aus lfd. Verw-,aus lfd. Verw-,lfd. Verw-,Investitions-,Investitions-,Investitions-,überschuss/,nanzierungs-,nanzierungs-,nanzierungs-,tungsermäch-
,tätigkeit,tätigkeit,tätigkeit,tätigkeit,tätigkeit,tätigkeit,-fehlbetrag,tätigkeit,tätigkeit,tätigkeit,tigungen
0501 Leist. d. Grundsicherung f. Arbeitsuchende,200.555.140,227.806.570,27.251.430-,,4.500,4.500-,27.255.930-,,,,
0502 Sicherung des Lebensunterhalts,73.018.700,91.776.750,18.758.050-,,2.593.820,2.593.820-,21.351.870-,,,,
0503 Sicherung besonderer sozialer Bedarfe,6.931.190,73.464.010,66.532.820-,,273.260,273.260-,66.806.080-,,,,
0504 Wohngeld,3.000,2.412.980,2.409.980-,,,,2.409.980-,,,,
05 Soziale Hilfen,280.508.030,395.460.310,114.952.280-,,2.871.580,2.871.580-,117.823.860-,,,,
0601 Förderung von Kindern in Tagesbetreuung,129.556.040,215.903.860,86.347.820-,,7.822.300,7.822.300-,94.170.120-,,,,
0602 Kinder- und Jugendarbeit,28.068.760,47.325.750,19.256.990-,,100.550,100.550-,19.357.540-,,,,
0603 Förd. v. benachteiligten jungen Menschen,545.400,10.877.670,10.332.270-,,7.690,7.690-,10.339.960-,,,,
0604 Familienförderung,374.390,5.969.510,5.595.120-,,1.620,1.620-,5.596.740-,,,,
0605 Erzieh. und wirtsch. Hilfen für Familien,27.869.200,115.913.200,88.044.000-,,1.080,1.080-,88.045.080-,,,,
"06 Kinder-, Jugend- und Familienhilfe",186.413.790,395.989.990,209.576.200-,,7.933.240,7.933.240-,217.509.440-,,,,
0701 Gesunfheitsdienste,3.122.970,17.155.860,14.032.890-,,10.000,10.000-,14.042.890-,,,,
07 Gesundheitsdienste,3.122.970,17.155.860,14.032.890-,,10.000,10.000-,14.042.890-,,,,
"0801 Sportinfrastruktur, Sportförd., Sportveranstalt.",1.597.610,7.437.600,5.839.990-,856.000,39.839.000,38.983.000-,44.822.990-,,,,2.087.500-
0802 Bäder,2.295.240,8.698.830,6.403.590-,,2.043.300,2.043.300-,8.446.890-,,,,
08 Sportförderung,3.892.850,16.136.430,12.243.580-,856.000,41.882.300,41.026.300-,53.269.880-,,,,2.087.500-
"0901 Stadt- u.Regionalentwickl., Stadtplanung",1.952.330,10.224.780,8.272.450-,,1.266.070,1.266.070-,9.538.520-,,,,
"0902 Vermessung, Kataster und Geoinformation",1.241.910,8.589.240,7.347.330-,1.020,245.000,243.980-,7.591.310-,,,,
"09 Räuml.Planung/Entwickl.,Geoinformation",3.194.240,18.814.020,15.619.780-,1.020,1.511.070,1.510.050-,17.129.830-,,,,
1001 Bauaufsicht und baurechtliche Beratung,3.471.700,7.061.970,3.590.270-,420.000,5.000,415.000,3.175.270-,,,,
1002 Denkmalpflege und Denkmalschutz,414.000,1.808.910,1.394.910-,,,,1.394.910-,,,,
1003 Wohnen,343.590,6.352.630,6.009.040-,,,,6.009.040-,,,,
10 Bauen und Wohnen,4.229.290,15.223.510,10.994.220-,420.000,5.000,415.000,10.579.220-,,,,
1101 Abwasserbeseitigung,74.394.650,32.150.650,42.244.000,2.250.000,45.970.000,43.720.000-,1.476.000-,,,,30.800.000-
1102 Abfallwirtschaft (AWM),4.000.000,,4.000.000,,,,4.000.000,,,,
11 Ver- und Entsorgung,78.394.650,32.150.650,46.244.000,2.250.000,45.970.000,43.720.000-,2.524.000,,,,30.800.000-
1201 Verkehrsflächen und -anlagen,21.326.660,50.768.330,29.441.670-,16.670.000,35.600.000,18.930.000-,48.371.670-,,,,30.182.000-
"12 Verkehrsflächen und -anlagen, ÖPNV",21.326.660,50.768.330,29.441.670-,16.670.000,35.600.000,18.930.000-,48.371.670-,,,,30.182.000-
1301 Grün- und Freiflächen,960.700,18.027.510,17.066.810-,50.000,4.514.750,4.464.750-,21.531.560-,,,,2.978.900-
1302 Friedhöfe,1.019.170,1.897.970,878.800-,2.000,160.970,158.970-,1.037.770-,,,,97.720-
"1303 Natur, Landschaft, Erholung,Wasserschutz",290.260,3.967.040,3.676.780-,88.570,359.010,270.440-,3.947.220-,,,,
1304 Fließende Gewässer,839.100,1.652.410,813.310-,1.650.000,2.502.000,852.000-,1.665.310-,,,,1.300.000-
1305 Wald und Forstwirtschaft,263.770,642.220,378.450-,4.400,3.960,440,378.010-,,,,
13 Natur- und Landschaftspflege,3.373.000,26.187.150,22.814.150-,1.794.970,7.540.690,5.745.720-,28.559.870-,,,,4.376.620-
"1401 Umweltschutz - Klima, Lärm, Boden,Abfall",525.400,5.274.000,4.748.600-,,1.120,1.120-,4.749.720-,,,,
14 Umweltschutz,525.400,5.274.000,4.748.600-,,1.120,1.120-,4.749.720-,,,,
1501 Anteile an Unternehmen,30.101.410,14.500.070,15.601.340,34.000,1.500.000,1.466.000-,14.135.340,,,,
1502 Stadtmarketing (MM),,3.834.380,3.834.380-,,,,3.834.380-,,,,
1503 Stadthalle Hiltrup,154.000,213.020,59.020-,,20.000,20.000-,79.020-,,,,
1504 Öffentliche Toilettenanlagen,,529.430,529.430-,,822.000,822.000-,1.351.430-,,,,
15 Wirtschaft und Tourismus,30.255.410,19.076.900,11.178.510,34.000,2.342.000,2.308.000-,8.870.510,,,,
1601 Allgemeine Finanzwirtschaft,925.780.000,247.225.000,678.555.000,96.587.060,6.520.000,90.067.060,768.622.060,1.034.324.133,792.508.513,241.815.620,
16 Allgemeine Finanzwirtschaft,925.780.000,247.225.000,678.555.000,96.587.060,6.520.000,90.067.060,768.622.060,1.034.324.133,792.508.513,241.815.620,
Summe,1.649.088.310,1.649.059.520,28.790,159.391.940,401.236.350,241.844.410-,241.815.620-,1.034.324.133,792.508.513,241.815.620,111.211.120-
