Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
4720Sportanlageu.UG Wienburgstraße,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",0,300.000,1.150.000,1.150.000,0,0,0,0,0,1.450.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,300.000-,1.150.000-,,,0,0,0,0,1.450.000-
