Lfd.,Produkt-,Amt,Aus-,Empfänger,Verwendungszweck / Zielsetzung,Zuschuss 2026 in €,davon Personal- kosten,davon,davon sonst. Kosten,Zuschuss 2027 in €,davon Personal- kosten,davon,davon sonst. Kosten,verpflichtende/,zeitliche
Nr.,gruppe,,schuss,,,,,Overhead,,,,Overhead,,freiwillige Leistung,Befristung
192,0601,51,AKJF,Jugendamtselternbeirat,Unterstützung Sachkosten Jugendamtselternbeirat,5.000,0,0,5.000,5.000,0,0,5.000,der Höhe nach,31.12.2028
193,0601,51,AKJF,DAFFKE Münster ehemals Eltern helfen Eltern e. V.,Grundförderung,97.385,87.902,0,9.483,99.143,89.662,0,9.483,dem Grunde nach,31.12.2028
194,0601,51,AKJF,Münsteraner Tageseltern e. V.,Grundförderung,14.750,13.314,0,1.436,15.016,13.580,0,1.436,dem Grunde nach,31.12.2028
195,0601,51,AKJF,Glühwürmchen e.V.,Zuschuss: Schallschutzplatten als Lärmschutzmaßnahme,5.700,0,0,5.700,0,0,0,0,dem Grunde nach,31.12.2026
196,0601,51,AKJF,Krullys e.V.,Zuschuss: neue Außentür der Kita,5.000,0,0,5.000,0,0,0,0,dem Grunde nach,31.12.2026
197,0602,51,AKJF,Anerkannte freie Träger der Kinder- und Jugendhilfe in Münster,"Förderstruktur der offenen Kinder- u. Jugendarbeit, Betrieb der Einrichtungen (incl. Beschaffung von Materialien für die Einrichtungen nach Richtlinie)",3.979.041,3.535.520,0,443.521,4.046.398,3.609.377,0,437.021,dem Grunde nach,31.12.2031
198,0602,51,AKJF,Träger der Kinder- und Jugendhilfe sowie angegliederte Initiativen und Gruppen,Ferienprogramme und ganztägige Ferienbetreuung,1.789.270,1.615.050,0,174.220,1.821.571,1.647.351,0,174.220,dem Grunde nach,31.12.2031
199,0602,51,AKJF,Träger der Kinder- und Jugendhilfe sowie angegliederte Initiativen und Gruppen,Verbesserung der Inklusion von Kindern und Jugendlichen mit Behinderungen in Freizeit- und Ferienbetreuungsangeboten,121.412,109.592,0,11.820,123.604,111.784,0,11.820,dem Grunde nach,31.12.2031
200,0602,51,AKJF,Träger der Kinder- und Jugendhilfe sowie angegliederte Initiativen und Gruppen,Reisen und Begegnungen,181.481,163.811,0,17.670,184.757,167.087,0,17.670,dem Grunde nach,31.12.2031
201,0602,51,AKJF,Träger der Kinder- und Jugendhilfe sowie angegliederte Initiativen und Gruppen,Betrieb und Verwaltung,65.995,59.565,0,6.430,67.186,60.756,0,6.430,dem Grunde nach,31.12.2031
202,0602,51,AKJF,Träger der Kinder- und Jugendhilfe sowie angegliederte Initiativen und Gruppen,"Weitere Positionen der ""Richtlinien zur Förderung der Kinder- und Jugendarbeit"" wie z. B. Offene Kinder- und Jugendveranstaltungen, Kurse und Workshops, Aus- und Fortbildung u. a.",162.066,145.786,0,16.280,164.982,148.702,0,16.280,dem Grunde nach,31.12.2031
203,0602,51,AKJF,Diverse,"Maßnahmeprogramm Kinderhaus-Brüningheide (Projekte 6.04, 07, 08)",7.867,7.097,0,770,8.009,7.239,0,770,dem Grunde nach,31.12.2031
204,0602,51,AKJF,Träger der Offenen Ganztagsschulen,Betrieb der Offenen Ganztagsschulen in Trägerschaft der freien Jugendhilfe,23.132.788,20.115.668,1.969.154,1.047.966,28.226.341,25.209.221,2.008.537,1.008.583,dem Grunde nach,31.12.2031
205,0602,51,AKJF,"BDKJ Diözese Münster e.V., Sportjugend im SSB Münster, DGBJugend Münsterland","Finanzmittel für eine Geschäftsführung (1 VZÄ, EG 10 TVöD)",72.300,72.300,0,0,81.200,81.200,0,0,dem Grunde nach,31.12.2031
206,0603,51,AKJF,Anerkannte freie Träger der Kinder- und Jugendhilfe in Münster,Förderstruktur der aufsuchenden Jugendsozialarbeit + soziale Gruppenarbeit,789.279,697.746,0,91.533,804.496,712.963,0,91.533,dem Grunde nach,31.12.2030
207,0603,51,AKJF,Diverse freie Träger der Kinder- und Jugendhilfe in Münster,Freizeitpädagogische Angebote in Übergangseinrichtungen,150.000,150.000,0,0,150.000,150.000,0,0,dem Grunde nach,31.12.2030
208,0603,51,AKJF,Diverse freie Träger der Kinder- und Jugendhilfe in Münster,Schulsozialarbeit gem. Kooperationsvereinbarung an Grundschulen (Indikatorenbasiert verteilt),961.396,559.596,300.000,101.800,1.083.896,682.096,300.000,101.800,dem Grunde nach,31.12.2030
209,0603,51,AKJF,Diverse freie Träger der Kinder- und Jugendhilfe in Münster,Förderinseln,890.000,801.000,0,89.000,1.009.000,908.100,0,100.900,dem Grunde nach,31.12.2030
210,0603,51,AKJF,Diverse freie Träger der Kinder- und Jugendhilfe in Münster,Schulsozialarbeit gem. Kooperationsvereinbarung an weiterführenden Schulen,167.401,151.101,0,16.300,170.423,154.123,0,16.300,dem Grunde nach,31.12.2028
211,0603,51,AKJF,Caritasverband für die Stadt Münster e.V. / Jugendausbildungszentrum gGmbH,"Jugendhilfe an der Kompassschule (Förderschule) mit Primarstufe, Sekundarstufe u.Villa Interim",576.376,518.738,0,57.638,586.751,529.113,0,57.638,dem Grunde nach,31.12.2030
212,0603,51,AKJF,Caritasverband für die Stadt Münster e.v./ Jugendausbildungszentrum gGmbH,Jugendberufshilfe für wohnungslose junge Menschen,4.610,4.149,0,461,4.693,4.232,0,461,dem Grunde nach,31.12.2030
213,0603,51,AKJF,Boxzentrum Münster e.V.,"""Farid’s QualiFighting"" Verknüpfung von Sport (Boxen) und Lernhilfen",108.332,97.499,0,10.833,110.281,99.253,0,11.028,dem Grunde nach,31.12.2030
214,0603,51,AKJF,Cactus Junges Theater (Jugendtheaterwerkstatt Münster e. V.),Beratung + Coaching junger Menschen hinsichtlich Ausbildung und sozialem Umfeld,56.023,50.573,0,5.450,57.034,51.584,0,5.450,dem Grunde nach,31.12.2028
215,0603,51,AKJF,Outlaw gGmbH,FANport Münster,56.097,53.097,0,3.000,57.158,54.158,0,3.000,dem Grunde nach,31.12.2028
