6090B-Plan631-Nienb. Feldst.SP/ÖG,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",0,0,0,0,0,250.000,125.000,125.000,0,2.900.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,0,0,,,250.000-,125.000-,125.000-,0,2.900.000-
