0400Aktivierungvon Bauzeitzinsen,,,,,,,,,,,
Auszahlungaussonstigen Investitionen,"0,00",0,6.500.000,6.500.000,0,0,6.500.000,6.500.000,6.500.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,6.500.000-,6.500.000-,,,6.500.000-,6.500.000-,6.500.000-,,
