Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0600KleinereBaumaßnahmenan FWundFH,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"32.609,85",100.000,150.000,100.000,0,0,100.000,100.000,100.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"32.609,85-",100.000-,150.000-,100.000-,,,100.000-,100.000-,100.000-,,
