"4287 Theod.ScheiweStr.Urb.Stadtquart,",Bp642,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",10.000,100.000,100.000,0,0,100.000,100.000,100.000,10.000,13.510.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",10.000-,100.000-,100.000-,,,100.000-,100.000-,100.000-,10.000-,13.510.000-
