Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
5130Ersatzpflanzungennach Baumschutzsatzung,,,,,,,,,,,
EinzahlungausBeiträgenund ähnlichenEntgelten,"36.400,00",300.000,25.000,25.000,,,25.000,25.000,25.000,336.400,486.400
AuszahlungfürBaumaßnahmen,"0,00",336.000,25.000,25.000,0,0,25.000,25.000,25.000,336.000,486.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"36.400,00",36.000-,0,0,,,0,0,0,400,400
