1100MusikCampus,,,,,,,,,,,
AuszahlungfürdenErwerbvon Finanzanlagen,"66.052,62",800.000,500.000,500.000,0,0,0,0,0,1.047.774,2.047.774
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"66.052,62-",800.000-,500.000-,500.000-,,,0,0,0,1.047.774-,2.047.774-
