Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
6010SP/ÖGKirschgarten Handorf,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",100.000,0,250.000,250.000,0,0,0,0,100.000,350.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",100.000-,0,250.000-,,,0,0,0,100.000-,350.000-
