InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"488,20",6.216,2.500,2.500,0,0,2.500,2.500,2.500,,
Saldo(Einzahlungen./. Auszahlungen),"488,20-",6.216-,2.500-,2.500-,,,2.500-,2.500-,2.500-,,
