4290AusgrabungenBaugeb HiltrupNördlOsttor,,,,,,,,,,,
Auszahlungaussonstigen Investitionen,"0,00",450.000,450.000,0,0,0,0,0,0,450.000,900.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",450.000-,450.000-,0,,,0,0,0,450.000-,900.000-
