Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0100Beschaffungenfür Sporteinrichtungen,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"182.340,32",494.532,210.000,210.000,420.000,0,210.000,210.000,210.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"182.340,32-",494.532-,210.000-,210.000-,,,210.000-,210.000-,210.000-,,
