InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",4.550,4.550,4.550,,,4.550,4.550,4.550,,
Auszahlung,"43.067,32",83.182,4.550,74.550,0,0,4.550,4.550,4.550,,
Saldo(Einzahlungen./. Auszahlungen),"43.067,32-",78.632-,0,70.000-,,,0,0,0,,
