Ertrags- und Aufwandsarten,,Ergebnis 2023 (€),Haushaltsansatz 2024 (€),,davon Übertr.Ermächt.,Ergebnis 2024 (€),Vgl.fort.An./Erg.,Übertr. Ermächt.
,,,Original,fortgeschrieben,aus 2023 (€),,absolut,nach 2025 (€)
,,,,,,,,
,Nachrichtlich: Verrechnung von Erträgen und Aufwendungen mit der allgemeinen Rücklage,,,,,,,
29,Verrechnete Erträge bei Vermögensgegenständen,"1.227.625,48",0,0,0,"2.193.762,38",2.193.762+,0
30,Verrechnete Erträge bei Finanzanlagen,"1.473.659,95",0,0,0,"1.920.492,92",1.920.493+,0
31,Verrechnete Aufwendungen bei Vermögensgegenständen,"1.098.946,70",0,0,0,"2.036.900,18",2.036.900+,0
32,Verrechnete Aufwendungen bei Finanzanlagen,"1.729.413,93",0,0,0,"1.792.225,48",1.792.225+,0
33,Verrechnungssaldo (= Zeilen 29 bis 32),"127.075,20-",0,0,0,"285.129,64",285.130+,0
