Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
4005BürgerhausOxford,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"14.262,58",271.062,0,0,0,0,0,0,0,502.660,502.660
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"14.262,58-",271.062-,0,0,,,0,0,0,502.660-,502.660-
