Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
4730Fertigbauklassen,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"2.245.600,21",4.505.336,500.000,1.500.000,1.500.000,0,0,0,0,9.676.759,11.676.759
Auszahlungvonaktivierbaren Zuwendungen,"1.000.000,00",200.000,0,0,0,0,0,0,0,1.200.000,1.200.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"3.245.600,21-",4.705.336-,500.000-,1.500.000-,,,0,0,0,10.876.759-,12.876.759-
