,,,,,,,,
"Beschreibung DieProduktgruppebeinhaltetdiearchivfachlicheAufgabenerfüllungnachdengesetzlichenVorgaben(ArchivgesetzNRW)undderArchivsatzungvom23.06.2021.Darunteristfolgendeszufassen:Bewertung, Übernahme,ErhaltundErschließungamtlicherundnichtamtlicherUnterlagen,dieBeratungundBetreuungderNutzendendesStadtarchivssowiedieErforschung,DokumentationundVermittlungder Stadtgeschichte.",,,,,,,,
BesonderheitenindenPlanjahren -AbschlussundFestaktzumGeschichtswettbewerb2026/27 -MassenentsäuerungvonArchivgut,,,,,,,,
Ziele 1.DiejährlicheÜbernahmequote(d.h.dasVerhältnisdervondenDienststellenangebotenenzudeninsStadtarchivübernommenenUnterlageninlaufendenMetern)soll10%nichtübersteigen. 2.DerErschließungsstand(d.h.dasVerhältnisvoninhaltlichbeschriebenenundrecherchierbarenzunochnichterschlossenenArchivgutsinlaufendenMetern)sollsichtrotzneuerÜbernahmennichtverschlechtern. 3.DieNutzungunddiehistorischeBildungsarbeitdesStadtarchivssollenmindestensaufdembisherigenNiveaugehaltenwerden.BeiPublikationenundThemenabendensollenGenderaspektenachMöglichkeit berücksichtigtwerden.,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
"Zielkennzahlen -Zum1.Ziel:Übernahmequote(vomangebotenenSchriftgutin%) -Zum2.Ziel:Erschließungsquote(in%) -Zum3.Ziel:AnzahlderBenutzungen -Zum3.Ziel:AnzahlderschriftlichenRecherchen -Zum3.Ziel:AnzahlderTeilnehmendenan(Schul-)Führungen, BildungspartnerschaftenundThemenabenden -(FinanzFAIRteilung)Zum3.Ziel:AnzahlderVeranstaltungenund PublikationenmitGenderaspekten",4,10,10,,10,10,10,10
,76,73,73,,73,73,73,73
,12.987,9.000,9.000,,9.000,9.000,9.000,9.000
,1.361,1.000,1.000,,1.000,1.000,1.000,1.000
,2.470,2.500,2.500,,2.500,2.500,2.500,2.500
,4,1,1,,1,1,1,1
Standardkennzahlen -Teilergebnis(Zeile29)proEinwohner/in(inEuro) -Aufwandsdeckungsgrad(in%),"-5,23","-4,90","-4,52",,"-4,61","-4,66","-4,65","-4,73"
,"6,1","2,6","4,1",,"2,6","0,8","0,8","0,7"
