"4247AlbersloherWeg,Bereich Yorkkaserne",,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",0,0,0,,,200.000,200.000,1.060.000,0,3.200.000
AuszahlungfürBaumaßnahmen,"0,00",150.000,50.000,215.000,0,4.350.000,1.350.000,1.500.000,1.500.000,160.829,6.925.829
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",150.000-,50.000-,215.000-,,,1.150.000-,1.300.000-,440.000-,160.829-,3.725.829-
