InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"2.697.036,67",117.100,310.000,100.000,100.000,0,0,0,0,,
Saldo(Einzahlungen./. Auszahlungen),"2.697.036,67-",117.100-,310.000-,100.000-,,,0,0,0,,
