Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0010BeschaffungenStadthalle Hiltrup,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"18.406,75",15.000,20.000,20.000,0,0,20.000,20.000,20.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"18.406,75-",15.000-,20.000-,20.000-,,,20.000-,20.000-,20.000-,,
