,,,,,TVÖD Pflege,,,,,,,,BT-V Soz. & Erz. Dienst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BT-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Bezeichnung,,,P09,,,P08,,,P07,,,S18,,,S17,,,S16,,,S15,,,S14,,,S13,,,S12,,,S11B,,,S10,,,S09,,,S08B,,,S08A,,,S03,,,S02,,,,TVÖD,,Summe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEST,,,,
0501,GRUNDSICHERUNG FÜR ARBEITSSUCHENDE NACH DEM SGB II,,,,,,,,,,,,"3,00",,,"1,00",,,,,,"4,00",,,,,,,,,,,,"60,57",,,,,,,,,,,,,,,,,,,,,"1,00",,,"226,04",,
0502,SICHERUNG DES LEBENSUNTERHALTS (OHNE SGB II),,,,,,,,,,,,"0,70",,,"0,64",,,,,,,,,,,,,,,"2,75",,,,,,,,,,,,,,,,,,,,,,,,"0,50",,,"26,57",,
0503,SICHERUNG BESONDERER SOZIALER BEDARFE,,,,,,,,,,,,"2,30",,,"4,41",,,,,,"7,00",,,,,,,,,"42,71",,,"0,50",,,,,,,,,,,,,,,,,,,,,"0,50",,,"110,50",,
0504,WOHNGELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,72",,
,,Summen: Produktbereich 05,,,"0,00",,,"0,00",,,"0,00",,,"6,00",,,"6,04",,,"0,00",,,"11,00",,,"0,00",,,"0,00",,,"46,46",,,"61,07",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"2,00",,,"392,52",
,,Soziale Leistungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0601,FÖRDERUNG VON KINDERN IN TAGESBETREUUNG,,,,,,,,,,,,"2,46",,,"6,10",,,"4,00",,,"22,80",,,,,,"23,00",,,"17,70",,,"2,00",,,"1,00",,,"13,40",,,"15,97",,,"308,27",,,"75,40",,,,,,"0,30",,,"537,09",,
0602,KINDER- UND JUGENDARBEIT,,,,,,,,,,,,"4,46",,,"2,00",,,,,,"7,38",,,,,,,,,"32,93",,,"3,19",,,,,,"1,00",,,"1,62",,,"63,32",,,,,,"53,91",,,"0,10",,,"186,73",,
