1080UmbauZeitungslesesaal,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",0,100.000,15.000,0,0,5.000,0,0,0,120.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,100.000-,15.000-,,,5.000-,0,0,0,120.000-
