Ergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
,,,,,,,,
,Nachrichtlich:VerrechnungvonErträgenundAufwendungenmitderallgemeinenRücklage,,,,,,,
29,VerrechneteErträgebeiVermögensgegenständen,"2.193.762,38",0,0,0,0,0,0
30,VerrechneteErträgebeiFinanzanlagen,"1.920.492,92",0,0,0,0,0,0
31,VerrechneteAufwendungenbei Vermögensgegenständen,"2.036.900,18",0,0,0,0,0,0
32,VerrechneteAufwendungenbeiFinanzanlagen,"1.792.225,48",0,0,0,0,0,0
33,Verrechnungssaldo (=Zeilen29bis32),"285.129,64",0,0,0,0,0,0
