6210ReinvestitionenIT,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"0,00",0,0,2.300.000,0,0,2.350.000,2.620.000,2.620.000,0,12.510.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,0,2.300.000-,,,2.350.000-,2.620.000-,2.620.000-,0,12.510.000-
