"4249HKA,Baueiner4. Reinigungsstufe",,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"4.600.035,70",6.000.000,6.000.000,0,,,0,0,0,24.193.620,30.193.620
AuszahlungfürBaumaßnahmen,"18.839.269,87",30.072.273,23.000.000,19.500.000,20.000.000,0,5.000.000,3.720.000,0,87.358.735,138.578.735
Verpflichtungsermächtigung2026zuLasten,,,,15.000.000,,,5.000.000,0,0,,
Saldo Maßnahme (Einzahlungen ./. Auszahlungen),"14.239.234,17-",24.072.273-,17.000.000-,19.500.000-,,,5.000.000-,3.720.000-,0,63.165.116-,108.385.116-
