5900San./Umgest. WegeflächenimBez.Ost,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,350.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",50.000-,50.000-,50.000-,,,50.000-,50.000-,50.000-,50.000-,350.000-
