5180KitaYork(3Gruppen),,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"2.106.480,28",2.166.761,0,0,0,0,0,0,0,4.777.509,4.777.509
Auszahlungvonaktivierbaren Zuwendungen,"0,00",150.000,0,0,0,0,0,0,0,150.000,150.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"2.106.480,28-",2.316.761-,0,0,,,0,0,0,4.927.509-,4.927.509-
