"4171Kanalstraße,Promenade- Ring",,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",0,0,600.000,0,0,50.000,50.000,50.000,29.892,3.779.892
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,0,600.000-,,,50.000-,50.000-,50.000-,29.892-,3.779.892-
