7200Sanierungvon Spielplätzen;Bez.Nord,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"46.853,41",185.668,45.000,45.000,0,0,26.450,26.450,26.450,1.037.673,1.233.473
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"46.853,41-",185.668-,45.000-,45.000-,,,26.450-,26.450-,26.450-,1.037.673-,1.233.473-
