0110Beschaffung v.rettungsdienstl.Geräten,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"77.147,64",192.402,100.000,0,0,0,0,850.000,850.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"77.147,64-",192.402-,100.000-,0,,,0,850.000-,850.000-,,
